2019-04-25 20:56:44.722 UTC [main]  TRACE LineSegmentationEvaluatorTool:42 - main
2019-04-25 20:56:46.864 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@16f65612 = 0.05154674649874402
2019-04-25 20:56:46.865 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@311d617d
2019-04-25 20:56:46.865 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@7c53a9eb
2019-04-25 20:56:46.865 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@ed17bee
2019-04-25 20:56:46.865 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2a33fae0
2019-04-25 20:56:47.327 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@707f7052 = 0.038273993808049536
2019-04-25 20:56:47.328 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@11028347
2019-04-25 20:56:47.328 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@14899482
2019-04-25 20:56:47.328 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@21588809
2019-04-25 20:56:47.328 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2aae9190
2019-04-25 20:56:47.328 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2f333739
2019-04-25 20:56:47.431 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@77468bd9 = 0.04512030631336205
2019-04-25 20:56:47.431 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@12bb4df8
2019-04-25 20:56:47.567 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@4cc77c2e = 0.059299416180150125
2019-04-25 20:56:47.662 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@7a7b0070 = 0.051790009905193155
2019-04-25 20:56:47.663 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@39a054a5
2019-04-25 20:56:47.663 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@71bc1ae4
2019-04-25 20:56:48.090 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@6ed3ef1 = 0.0191044776119403
2019-04-25 20:56:48.091 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2437c6dc
2019-04-25 20:56:48.091 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@1f89ab83
2019-04-25 20:56:48.091 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@e73f9ac
2019-04-25 20:56:48.091 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@61064425
2019-04-25 20:56:48.209 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@7b1d7fff = 0.05664216602300569
2019-04-25 20:56:48.209 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@299a06ac
2019-04-25 20:56:48.796 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@383534aa = 0.023619371282922685
2019-04-25 20:56:48.797 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@6bc168e5
2019-04-25 20:56:49.492 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@7b3300e5
2019-04-25 20:56:49.493 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2e5c649
2019-04-25 20:56:49.611 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@136432db = 0.08980233014792512
2019-04-25 20:56:49.613 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@7382f612
2019-04-25 20:56:49.614 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@1055e4af
2019-04-25 20:56:49.615 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@3caeaf62
2019-04-25 20:56:50.413 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@e6ea0c6 = 0.0497927014490374
2019-04-25 20:56:50.414 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@6a38e57f
2019-04-25 20:56:50.414 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@5577140b
2019-04-25 20:56:50.414 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@1c6b6478
2019-04-25 20:56:50.605 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@67f89fa3 = 0.06279540850776502
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@4ac68d3e
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@512ddf17
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2c13da15
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@77556fd
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@368239c8
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@9e89d68
2019-04-25 20:56:50.606 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@3b192d32
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@16f65612
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@311d617d
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@7c53a9eb
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@ed17bee
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2a33fae0
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@707f7052
2019-04-25 20:56:50.607 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@11028347
2019-04-25 20:56:50.608 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@14899482
2019-04-25 20:56:50.608 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@21588809
2019-04-25 20:56:50.608 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2aae9190
2019-04-25 20:56:50.608 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2f333739
2019-04-25 20:56:50.608 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@77468bd9
2019-04-25 20:56:50.609 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@12bb4df8
2019-04-25 20:56:50.649 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@4ac68d3e * java.awt.Polygon@4cc77c2e = 9.209163117301715E-4
2019-04-25 20:56:50.650 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@7a7b0070
2019-04-25 20:56:50.650 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@39a054a5
2019-04-25 20:56:50.650 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@71bc1ae4
2019-04-25 20:56:50.650 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@6ed3ef1
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2437c6dc
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@1f89ab83
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@e73f9ac
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@61064425
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@7b1d7fff
2019-04-25 20:56:50.651 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@299a06ac
2019-04-25 20:56:50.652 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@383534aa
2019-04-25 20:56:50.652 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@6bc168e5
2019-04-25 20:56:50.652 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@277c0f21
2019-04-25 20:56:50.652 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@7b3300e5
2019-04-25 20:56:50.652 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@2e5c649
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@136432db
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@7382f612
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@1055e4af
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@3caeaf62
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@e6ea0c6
2019-04-25 20:56:50.653 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@6a38e57f
2019-04-25 20:56:50.654 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@5577140b
2019-04-25 20:56:50.654 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@4ac68d3e with MO: java.awt.Polygon@1c6b6478
2019-04-25 20:56:50.685 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@4ac68d3e * java.awt.Polygon@67f89fa3 = 0.35312331717824447
2019-04-25 20:56:50.685 UTC [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@6073f712
2019-04-25 20:56:50.685 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@512ddf17
2019-04-25 20:56:50.685 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@2c13da15
2019-04-25 20:56:51.169 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@77556fd = 0.0496391965804109
2019-04-25 20:56:51.593 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@368239c8 = 0.07695113056163384
2019-04-25 20:56:51.593 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@9e89d68
2019-04-25 20:56:51.593 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@3b192d32
2019-04-25 20:56:51.593 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@16f65612
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@311d617d
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@7c53a9eb
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@ed17bee
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@2a33fae0
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@707f7052
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@11028347
2019-04-25 20:56:51.594 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@14899482
2019-04-25 20:56:52.021 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@21588809 = 0.09992186821772724
2019-04-25 20:56:52.021 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@2aae9190
2019-04-25 20:56:52.022 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@2f333739
2019-04-25 20:56:52.023 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@77468bd9
2019-04-25 20:56:52.542 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@12bb4df8 = 0.1196697945124124
2019-04-25 20:56:52.542 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@4cc77c2e
2019-04-25 20:56:52.542 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@7a7b0070
2019-04-25 20:56:52.542 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@39a054a5
2019-04-25 20:56:52.644 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@71bc1ae4 = 0.0768730065742368
2019-04-25 20:56:52.645 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@6ed3ef1
2019-04-25 20:56:53.069 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@2437c6dc = 0.06836424024356491
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@1f89ab83
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@e73f9ac
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@61064425
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@7b1d7fff
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@299a06ac
2019-04-25 20:56:53.070 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@383534aa
2019-04-25 20:56:53.146 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@6bc168e5 = 0.07631091918568784
2019-04-25 20:56:53.147 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@277c0f21
2019-04-25 20:56:53.147 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@7b3300e5
2019-04-25 20:56:53.222 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@2e5c649 = 0.09632596857983351
2019-04-25 20:56:53.222 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@136432db
2019-04-25 20:56:53.611 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6073f712 * java.awt.Polygon@7382f612 = 0.07702644334597111
2019-04-25 20:56:53.611 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@1055e4af
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@3caeaf62
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@e6ea0c6
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@6a38e57f
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@5577140b
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@1c6b6478
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6073f712 with MO: java.awt.Polygon@67f89fa3
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@43556938
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@512ddf17
2019-04-25 20:56:53.612 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@2c13da15
2019-04-25 20:56:53.686 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@43556938 * java.awt.Polygon@77556fd = 0.5646443990002272
2019-04-25 20:56:53.786 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@43556938 * java.awt.Polygon@368239c8 = 0.00859023207481815
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@9e89d68
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@3b192d32
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@16f65612
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@311d617d
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@7c53a9eb
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@ed17bee
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@2a33fae0
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@707f7052
2019-04-25 20:56:53.787 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@11028347
2019-04-25 20:56:53.788 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@14899482
2019-04-25 20:56:53.788 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@21588809
2019-04-25 20:56:53.788 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@2aae9190
2019-04-25 20:56:53.788 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@2f333739
2019-04-25 20:56:53.788 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@43556938 with MO: java.awt.Polygon@77468bd9
